Date,Confirmed,New Confirmed,Deaths,New Deaths
20200327,29155,3922,1696,365
20200326,24920,2895,1331,231
20200325,22025,2410,1100,240
20200324,19615,3794,860,186
20200323,15821,1525,674,112
20200322,14296,1821,562,112
20200321,12475,1598,450,78
20200320,10877,1834,372,128
20200319,9043,1391,244,69
20200318,7652,1079,175,27
20200317,6573,1193,148,21
20200316,5380,911,127,36
20200315,4469,829,91,12
20200314,3640,780,79,18
20200313,2860,591,61,13
20200312,2269,495,48,15
20200311,1774,372,33,3
20200310,1402,286,30,11
20200309,1116,410,19,9
20200308,706,93,10,1
20200307,613,193,9,3
20200306,420,138,6,2
20200305,282,73,4,0
20200304,212,21,4,1
20200303,191,91,3,1
20200302,100,0,2,0
20200301,100,43,2,0
20200229,57,19,2,0
20200228,38,20,2,0
20200227,18,6,2,1
20200226,12,0,1,0
20200225,12,0,1,0
20200224,12,0,1,0
20200223,12,0,1,0
20200222,12,0,1,0
20200221,12,0,1,0
20200220,12,0,1,0
20200219,12,0,1,0
20200218,12,0,1,0
20200217,12,0,1,0
20200216,12,1,1,1
20200215,11,0,0,0
20200214,11,0,0,0
20200213,11,0,0,0
20200212,11,0,0,0
20200211,11,0,0,0
20200210,11,0,0,0
20200209,11,5,0,0
20200208,6,0,0,0
20200207,6,0,0,0
20200206,6,0,0,0
20200205,6,0,0,0
20200204,6,0,0,0
20200203,6,0,0,0
20200202,6,0,0,0
20200201,6,0,0,0
20200131,6,1,0,0
20200130,5,1,0,0
20200129,4,1,0,0
20200128,3,0,0,0
20200127,3,0,0,0
20200126,3,0,0,0
