Date,Confirmed,New Confirmed,Deaths,New Deaths
20200401,94417,9222,8189,849
20200331,85195,6398,7340,812
20200330,78797,6549,6528,838
20200329,72248,8189,5690,832
20200328,64059,7871,4858,769
20200327,56188,8578,4089,655
20200326,47610,7937,3434,738
20200325,39673,6584,2696,514
20200324,33089,4517,2182,462
20200323,28572,3646,1720,394
20200322,24926,4946,1326,324
20200321,19980,2833,1002,235
20200320,17147,3431,767,169
20200319,13716,2538,598,107
20200318,11178,1987,491,182
20200317,9191,1438,309,21
20200316,7753,2000,288,152
20200315,5753,1522,136,16
20200314,4231,1266,120,36
20200313,2965,825,84,36
20200312,2140,501,48,12
20200311,1639,615,36,8
20200310,1024,435,28,18
20200309,589,159,10,5
20200308,430,56,5,0
20200307,374,117,5,2
20200306,257,59,3,2
20200305,198,47,1,1
20200304,151,37,0,0
20200303,114,69,0,0
20200302,45,0,0,0
20200301,45,13,0,0
20200229,32,7,0,0
20200228,25,13,0,0
20200227,12,10,0,0
20200226,2,0,0,0
20200225,2,0,0,0
20200224,2,0,0,0
20200223,2,0,0,0
20200222,2,0,0,0
20200221,2,0,0,0
20200220,2,0,0,0
20200219,2,0,0,0
20200218,2,0,0,0
20200217,2,0,0,0
20200216,2,0,0,0
20200215,2,0,0,0
20200214,2,0,0,0
20200213,2,0,0,0
20200212,2,0,0,0
20200211,2,0,0,0
20200210,2,1,0,0
20200209,1,0,0,0
20200208,1,0,0,0
20200207,1,0,0,0
20200206,1,0,0,0
20200205,1,0,0,0
20200204,1,0,0,0
20200203,1,0,0,0
20200202,1,0,0,0
20200201,1,0,0,0
